epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,986.625,1.47956,2.79416,1.73727,0.00637,0.88,0.28202,0.13582,1.47705,3.69584,1.7498,0.000277534,0.000277534,0.000277534
16,1041.61,1.51213,2.50961,1.68833,0.00693,0.925,0.34843,0.1642,1.45227,3.58678,1.69544,0.000293265,0.000293265,0.000293265
17,1106.51,1.39319,2.50997,1.53502,0.00625,0.91,0.40616,0.18364,1.46529,3.58723,1.65954,0.000308556,0.000308556,0.000308556
18,1197.13,1.39279,2.5249,1.56811,0.00635,0.93,0.38181,0.17753,1.50861,3.57895,1.72877,0.000323407,0.000323407,0.000323407
19,1266.21,1.23576,2.52756,1.49283,0.00547,0.88,0.35575,0.16426,1.51641,3.55263,1.74295,0.000337817,0.000337817,0.000337817
20,1325.85,1.42418,2.27616,1.52546,0.00604,0.955,0.46653,0.21225,1.52313,3.5495,1.73953,0.000351788,0.000351788,0.000351788
21,1391.37,1.37926,2.161,1.5976,0.00589,0.955,0.49264,0.22925,1.55284,3.46748,1.74642,0.000365319,0.000365319,0.000365319
22,1460.32,1.47721,2.24561,1.51747,0.00532,0.905,0.52567,0.26573,1.55741,3.46442,1.76635,0.00037841,0.00037841,0.00037841
23,1519.34,1.29479,2.00751,1.48327,0.00521,0.89,0.52832,0.2628,1.53992,3.52468,1.80615,0.000391061,0.000391061,0.000391061
24,1573.66,1.16589,1.93246,1.43825,0.23826,0.8,0.52929,0.27206,1.50985,3.51832,1.79759,0.000403272,0.000403272,0.000403272
25,1625.17,1.31381,1.94728,1.54139,0.40438,0.84101,0.60094,0.30857,1.49879,3.43532,1.7643,0.000415043,0.000415043,0.000415043
26,1675.05,1.353,2.1704,1.53753,0.6988,0.31023,0.63821,0.35302,1.4634,3.2988,1.70745,0.000426374,0.000426374,0.000426374
27,1726.94,1.11106,1.75782,1.34184,0.86441,0.31394,0.69325,0.37876,1.47361,3.11921,1.67058,0.000437265,0.000437265,0.000437265
28,1781.65,1.26914,1.89259,1.45932,0.86441,0.31394,0.69325,0.37876,1.47361,3.11921,1.67058,0.000447716,0.000447716,0.000447716
29,1850.18,1.09823,1.70711,1.27624,0.79556,0.50151,0.72985,0.40897,1.42367,2.99388,1.6639,0.000457728,0.000457728,0.000457728
30,1905.71,1.16379,1.80509,1.3912,0.78962,0.4672,0.69435,0.41637,1.37489,2.96942,1.67124,0.000467299,0.000467299,0.000467299
31,1958.82,1.15796,1.65342,1.37226,0.78962,0.4672,0.69435,0.41637,1.37489,2.96942,1.67124,0.00047643,0.00047643,0.00047643
32,2011.59,1.17903,1.78027,1.45162,0.80943,0.49581,0.67726,0.40248,1.31734,2.97467,1.64909,0.000485121,0.000485121,0.000485121
33,2065.39,1.21518,1.79846,1.48581,0.87735,0.49925,0.73182,0.42603,1.29794,2.95917,1.60931,0.000493373,0.000493373,0.000493373
34,2116.3,1.21617,1.73866,1.41398,0.87735,0.49925,0.73182,0.42603,1.29794,2.95917,1.60931,0.000501184,0.000501184,0.000501184
35,2165.48,1.0965,1.65713,1.32371,0.87792,0.47836,0.82859,0.38624,1.53239,3.10467,1.78219,0.000508556,0.000508556,0.000508556
36,2215.37,1.06401,1.62453,1.28392,0.8523,0.49329,0.77224,0.36172,1.56225,3.13213,1.85201,0.000515487,0.000515487,0.000515487
37,2264.49,1.05839,1.44711,1.31174,0.8523,0.49329,0.77224,0.36172,1.56225,3.13213,1.85201,0.000521979,0.000521979,0.000521979
38,2318.5,1.0877,1.61581,1.33348,0.8969,0.56618,0.76372,0.42186,1.46591,3.00193,1.79496,0.000528031,0.000528031,0.000528031
39,2380.74,1.06897,1.90141,1.32116,0.9045,0.55607,0.72834,0.41133,1.41415,3.07102,1.82206,0.000533642,0.000533642,0.000533642
40,2432.25,1.20186,1.59498,1.44341,0.9045,0.55607,0.72834,0.41133,1.41415,3.07102,1.82206,0.000538814,0.000538814,0.000538814
41,2479.68,1.18934,1.70767,1.4405,0.90102,0.6057,0.76564,0.43677,1.42616,2.97319,1.83614,0.000543546,0.000543546,0.000543546
42,2531.15,1.10877,1.44343,1.37149,0.91362,0.66815,0.79646,0.47833,1.40634,2.80353,1.83088,0.000547837,0.000547837,0.000547837
43,2577.57,0.96766,1.41146,1.25469,0.91362,0.66815,0.79646,0.47833,1.40634,2.80353,1.83088,0.000551689,0.000551689,0.000551689
44,2627.09,1.14578,1.71042,1.35469,0.83945,0.62109,0.77162,0.50458,1.39565,2.76865,1.81509,0.000555101,0.000555101,0.000555101
45,2675.11,0.99406,1.54954,1.34943,0.83945,0.62109,0.77162,0.50458,1.39565,2.76865,1.81509,0.000558073,0.000558073,0.000558073
46,2723.36,0.98502,1.43697,1.18846,0.9234,0.71238,0.83254,0.4844,1.46537,2.60253,1.84221,0.000560605,0.000560605,0.000560605
47,2771.79,1.05248,1.41693,1.31565,0.9234,0.71238,0.83254,0.4844,1.46537,2.60253,1.84221,0.000562697,0.000562697,0.000562697
48,2820.47,0.98157,1.60605,1.27825,0.91049,0.75637,0.84381,0.46612,1.56743,2.53063,1.90305,0.000564349,0.000564349,0.000564349
49,2869.28,1.08055,1.76819,1.36101,0.91049,0.75637,0.84381,0.46612,1.56743,2.53063,1.90305,0.000565561,0.000565561,0.000565561
50,2920.34,1.00744,1.53614,1.3492,0.88539,0.71067,0.83312,0.49761,1.5001,2.44498,1.89003,0.000566333,0.000566333,0.000566333
51,2971.31,1.00527,1.35691,1.27489,0.88539,0.71067,0.83312,0.49761,1.5001,2.44498,1.89003,0.000561055,0.000561055,0.000561055
52,3021.65,0.97777,1.34416,1.27672,0.93211,0.66474,0.80329,0.49809,1.47264,2.48201,1.91049,0.000550056,0.000550056,0.000550056
53,3070.75,1.08341,1.45469,1.32135,0.93211,0.66474,0.80329,0.49809,1.47264,2.48201,1.91049,0.000539057,0.000539057,0.000539057
54,3120.15,0.96108,1.37302,1.23216,0.85852,0.67375,0.79783,0.47758,1.57712,2.55783,1.98517,0.000528058,0.000528058,0.000528058
55,3170.39,0.99268,1.6535,1.35706,0.85852,0.67375,0.79783,0.47758,1.57712,2.55783,1.98517,0.000517059,0.000517059,0.000517059
56,3221.32,1.01624,1.52171,1.32459,0.87853,0.72769,0.82465,0.46638,1.70573,2.54542,2.08496,0.00050606,0.00050606,0.00050606
57,3273.35,1.00962,1.27984,1.2899,0.87853,0.72769,0.82465,0.46638,1.70573,2.54542,2.08496,0.000495062,0.000495062,0.000495062
58,3323.8,0.93432,1.40948,1.31861,0.80855,0.66104,0.78234,0.4939,1.4429,2.43233,1.86067,0.000484063,0.000484063,0.000484063
59,3374.87,0.92491,1.29422,1.23634,0.80855,0.66104,0.78234,0.4939,1.4429,2.43233,1.86067,0.000473064,0.000473064,0.000473064
60,3431.11,0.94453,1.39555,1.2705,0.8411,0.65025,0.77605,0.498,1.36602,2.4204,1.78818,0.000462065,0.000462065,0.000462065
61,3480.53,1.02762,1.47346,1.28943,0.8411,0.65025,0.77605,0.498,1.36602,2.4204,1.78818,0.000451066,0.000451066,0.000451066
62,3530.09,1.01984,1.377,1.2377,0.84207,0.66671,0.81072,0.52621,1.32087,2.41995,1.74239,0.000440067,0.000440067,0.000440067
63,3581.17,0.82599,1.25115,1.19891,0.84207,0.66671,0.81072,0.52621,1.32087,2.41995,1.74239,0.000429068,0.000429068,0.000429068
64,3633.19,0.91465,1.26673,1.21099,0.87287,0.75883,0.83349,0.52465,1.37992,2.4436,1.78146,0.000418069,0.000418069,0.000418069
65,3680.68,0.82677,1.27143,1.13087,0.87287,0.75883,0.83349,0.52465,1.37992,2.4436,1.78146,0.00040707,0.00040707,0.00040707
66,3729.4,0.91139,1.46597,1.26601,0.88962,0.76967,0.84224,0.52053,1.42252,2.39715,1.85824,0.000396071,0.000396071,0.000396071
67,3777.52,0.89565,1.2283,1.24729,0.88962,0.76967,0.84224,0.52053,1.42252,2.39715,1.85824,0.000385073,0.000385073,0.000385073
68,3826.49,0.93093,1.3948,1.28064,0.92687,0.775,0.82812,0.52936,1.47842,2.33816,1.92754,0.000374074,0.000374074,0.000374074
69,3876.59,0.85969,1.13915,1.15632,0.92687,0.775,0.82812,0.52936,1.47842,2.33816,1.92754,0.000363075,0.000363075,0.000363075
70,3926.83,1.0761,1.62273,1.31218,0.92745,0.7825,0.87274,0.53197,1.46428,2.24579,1.92966,0.000352076,0.000352076,0.000352076
71,3977.18,0.90205,1.29532,1.20987,0.92745,0.7825,0.87274,0.53197,1.46428,2.24579,1.92966,0.000341077,0.000341077,0.000341077
72,4026.37,0.81215,1.26295,1.22509,0.94183,0.78898,0.89238,0.53095,1.49245,2.12519,1.93625,0.000330078,0.000330078,0.000330078
73,4076.22,0.75593,1.27478,1.17496,0.94183,0.78898,0.89238,0.53095,1.49245,2.12519,1.93625,0.000319079,0.000319079,0.000319079
74,4125.89,0.78731,1.21443,1.15049,0.93812,0.78716,0.90964,0.53217,1.50223,2.0315,1.92462,0.00030808,0.00030808,0.00030808
75,4178.56,0.8703,1.25563,1.15959,0.93812,0.78716,0.90964,0.53217,1.50223,2.0315,1.92462,0.000297081,0.000297081,0.000297081
76,4229,0.97564,1.26073,1.21389,0.93146,0.78789,0.8918,0.53694,1.48475,1.98373,1.89128,0.000286083,0.000286083,0.000286083
77,4277.65,0.85961,1.20324,1.12379,0.93146,0.78789,0.8918,0.53694,1.48475,1.98373,1.89128,0.000275084,0.000275084,0.000275084
78,4327.5,0.84868,1.20224,1.24083,0.9342,0.78984,0.89106,0.54513,1.45483,1.914,1.8697,0.000264085,0.000264085,0.000264085
79,4374.13,0.76596,1.15229,1.10386,0.9342,0.78984,0.89106,0.54513,1.45483,1.914,1.8697,0.000253086,0.000253086,0.000253086
80,4443.5,0.6971,1.15194,1.03361,0.94777,0.73867,0.90692,0.57881,1.40479,1.84477,1.84961,0.000242087,0.000242087,0.000242087
81,4501.09,0.79125,1.12203,1.15853,0.94777,0.73867,0.90692,0.57881,1.40479,1.84477,1.84961,0.000231088,0.000231088,0.000231088
82,4552.65,0.87873,1.10819,1.10284,0.94876,0.7339,0.9227,0.59781,1.39616,1.78331,1.87378,0.000220089,0.000220089,0.000220089
83,4601.12,0.84073,1.17487,1.15846,0.94876,0.7339,0.9227,0.59781,1.39616,1.78331,1.87378,0.00020909,0.00020909,0.00020909
84,4650.3,0.72086,1.12329,1.07736,0.91074,0.77803,0.9339,0.59932,1.38219,1.71142,1.86785,0.000198091,0.000198091,0.000198091
85,4698.22,0.78157,1.10344,1.18135,0.91074,0.77803,0.9339,0.59932,1.38219,1.71142,1.86785,0.000187092,0.000187092,0.000187092
86,4748.29,0.8383,1.2477,1.15466,0.93112,0.80839,0.94757,0.62083,1.36962,1.64882,1.85372,0.000176094,0.000176094,0.000176094
87,4799.55,0.96654,1.36694,1.22645,0.93112,0.80839,0.94757,0.62083,1.36962,1.64882,1.85372,0.000165095,0.000165095,0.000165095
88,4850.74,0.67822,0.93442,1.04116,0.92637,0.86797,0.95429,0.6274,1.36584,1.59358,1.85827,0.000154096,0.000154096,0.000154096
89,4901.25,0.77696,1.11977,1.1612,0.92637,0.86797,0.95429,0.6274,1.36584,1.59358,1.85827,0.000143097,0.000143097,0.000143097
90,4951.7,0.71609,1.06614,1.06231,0.91758,0.87031,0.95635,0.61743,1.37323,1.57599,1.86907,0.000132098,0.000132098,0.000132098
91,5000.88,0.56438,1.17995,0.97275,0.91758,0.87031,0.95635,0.61743,1.37323,1.57599,1.86907,0.000121099,0.000121099,0.000121099
92,5050.97,0.63794,1.34048,1.05767,0.87448,0.90646,0.95456,0.61873,1.37927,1.5687,1.86896,0.0001101,0.0001101,0.0001101
93,5101.58,0.5811,1.25409,1.01924,0.87448,0.90646,0.95456,0.61873,1.37927,1.5687,1.86896,9.91012e-05,9.91012e-05,9.91012e-05
94,5147.8,0.6296,1.29552,1.09266,0.87129,0.90923,0.95661,0.62241,1.38576,1.58961,1.87636,8.81023e-05,8.81023e-05,8.81023e-05
95,5191.93,0.59273,1.18352,0.99516,0.87129,0.90923,0.95661,0.62241,1.38576,1.58961,1.87636,7.71034e-05,7.71034e-05,7.71034e-05
96,5240.95,0.5736,1.25331,1.0246,0.86592,0.9116,0.95662,0.62241,1.39044,1.59507,1.88532,6.61045e-05,6.61045e-05,6.61045e-05
97,5289.79,0.53874,1.13338,1.01553,0.86592,0.9116,0.95662,0.62241,1.39044,1.59507,1.88532,5.51056e-05,5.51056e-05,5.51056e-05
98,5339.89,0.53054,1.21557,1.05654,0.86501,0.91152,0.95662,0.621,1.3914,1.59409,1.89529,4.41067e-05,4.41067e-05,4.41067e-05
99,5385.7,0.65189,1.17294,1.13399,0.86501,0.91152,0.95662,0.621,1.3914,1.59409,1.89529,3.31078e-05,3.31078e-05,3.31078e-05
100,5434.77,0.71856,1.35307,1.07307,0.86597,0.91105,0.96388,0.62148,1.38549,1.58364,1.89204,2.21089e-05,2.21089e-05,2.21089e-05
