epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.941,2.49419,4.25157,2.4856,0.00384,0.515,0.04269,0.00991,2.22186,4.4779,2.90778,1.111e-05,1.111e-05,1.111e-05
2,207.588,2.56541,4.06128,2.64209,0.00377,0.515,0.04493,0.01154,2.20061,4.48505,2.85497,3.3e-05,3.3e-05,3.3e-05
3,266.331,2.61631,4.25295,2.76324,0.0039,0.495,0.05754,0.01131,2.13305,4.39382,2.75443,5.44501e-05,5.44501e-05,5.44501e-05
4,319.275,2.19069,3.99756,2.28326,0.00415,0.535,0.05666,0.01789,1.95911,4.37396,2.57637,7.54602e-05,7.54602e-05,7.54602e-05
5,377.457,2.1596,3.99488,2.24841,0.00438,0.62,0.06224,0.02064,1.90613,4.2555,2.44504,9.60304e-05,9.60304e-05,9.60304e-05
6,444.357,1.8589,3.91299,1.97673,0.00478,0.7,0.12873,0.03881,1.77023,4.24091,2.29668,0.000116161,0.000116161,0.000116161
7,501.406,1.74663,3.7285,1.88725,0.0049,0.725,0.18794,0.05661,1.66976,4.22237,2.16797,0.000135851,0.000135851,0.000135851
8,565.165,1.65063,3.65979,1.82281,0.00527,0.83,0.24003,0.07276,1.60942,4.13218,2.06096,0.000155101,0.000155101,0.000155101
9,639.335,1.65256,3.51933,1.83208,0.00533,0.83,0.27404,0.10452,1.56608,4.07298,1.98026,0.000173911,0.000173911,0.000173911
10,713.643,1.50038,3.42511,1.6977,0.00552,0.855,0.26522,0.11196,1.50121,4.01611,1.93155,0.000192282,0.000192282,0.000192282
11,780.39,1.7089,3.3136,1.87564,0.00551,0.855,0.28965,0.12013,1.4516,3.95999,1.85656,0.000210212,0.000210212,0.000210212
12,833.148,1.44835,3.02462,1.72166,0.00548,0.855,0.29729,0.14243,1.42997,3.88153,1.80666,0.000227703,0.000227703,0.000227703
13,888.101,1.45644,2.94236,1.69298,0.00536,0.835,0.28095,0.1432,1.45753,3.78187,1.76149,0.000244753,0.000244753,0.000244753
14,934.614,1.48615,2.93957,1.66585,0.00612,0.885,0.27607,0.12717,1.45309,3.74388,1.73285,0.000261364,0.000261364,0.000261364
