epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2706.38,1.08123,1.47671,1.43527,0.89925,0.375,0.71655,0.39169,1.44139,3.01258,1.96699,0.000547837,0.000547837,0.000547837
43,2761.99,1.01631,1.59276,1.30415,0.89925,0.375,0.71655,0.39169,1.44139,3.01258,1.96699,0.000551689,0.000551689,0.000551689
44,2819.43,1.14569,1.82642,1.38042,0.81639,0.37192,0.71059,0.40514,1.38505,3.0131,1.92944,0.000555101,0.000555101,0.000555101
45,2883.36,0.98052,1.5218,1.39977,0.81639,0.37192,0.71059,0.40514,1.38505,3.0131,1.92944,0.000558073,0.000558073,0.000558073
46,2950.99,1.02593,1.45697,1.2363,0.63869,0.53665,0.81111,0.47117,1.44981,2.72846,2.01658,0.000560605,0.000560605,0.000560605
47,3018.99,1.01805,1.32204,1.28405,0.63869,0.53665,0.81111,0.47117,1.44981,2.72846,2.01658,0.000562697,0.000562697,0.000562697
48,3089.61,0.95046,1.50738,1.25115,0.91142,0.50251,0.8535,0.48949,1.59397,2.40329,2.15014,0.000564349,0.000564349,0.000564349
49,3156,1.11312,1.59723,1.44415,0.91142,0.50251,0.8535,0.48949,1.59397,2.40329,2.15014,0.000565561,0.000565561,0.000565561
50,3232.82,1.06642,1.54623,1.41532,0.88006,0.57489,0.86753,0.4908,1.57056,2.32613,2.14462,0.000566333,0.000566333,0.000566333
51,3287.96,0.97387,1.43122,1.3047,0.88006,0.57489,0.86753,0.4908,1.57056,2.32613,2.14462,0.000561055,0.000561055,0.000561055
52,3336.67,0.93642,1.40081,1.24258,0.83927,0.49471,0.86732,0.49973,1.46345,2.47172,2.00995,0.000550056,0.000550056,0.000550056
53,3382.21,1.05467,1.43263,1.38378,0.83927,0.49471,0.86732,0.49973,1.46345,2.47172,2.00995,0.000539057,0.000539057,0.000539057
54,3427.98,0.9138,1.32428,1.2531,0.58929,0.76001,0.82294,0.48974,1.42099,2.72401,1.94511,0.000528058,0.000528058,0.000528058
55,3472.54,1.03631,1.62649,1.40933,0.58929,0.76001,0.82294,0.48974,1.42099,2.72401,1.94511,0.000517059,0.000517059,0.000517059
56,3519.01,0.99112,1.6553,1.36688,0.59622,0.69407,0.78993,0.44907,1.45228,2.8384,1.95918,0.00050606,0.00050606,0.00050606
57,3567.25,0.92469,1.34758,1.25096,0.59622,0.69407,0.78993,0.44907,1.45228,2.8384,1.95918,0.000495062,0.000495062,0.000495062
58,3615.8,0.91493,1.46511,1.33359,0.49503,0.69457,0.83229,0.46676,1.45297,2.74112,1.97255,0.000484063,0.000484063,0.000484063
59,3660.49,0.91208,1.26866,1.2337,0.49503,0.69457,0.83229,0.46676,1.45297,2.74112,1.97255,0.000473064,0.000473064,0.000473064
60,3705.25,0.94839,1.37517,1.29757,0.87466,0.44197,0.85252,0.50192,1.41673,2.58181,1.91906,0.000462065,0.000462065,0.000462065
61,3749.36,0.97521,1.42538,1.30493,0.87466,0.44197,0.85252,0.50192,1.41673,2.58181,1.91906,0.000451066,0.000451066,0.000451066
62,3794.37,0.96178,1.38915,1.26425,0.81177,0.535,0.89042,0.53361,1.40837,2.39011,1.93855,0.000440067,0.000440067,0.000440067
63,3838.88,0.8453,1.22562,1.22446,0.81177,0.535,0.89042,0.53361,1.40837,2.39011,1.93855,0.000429068,0.000429068,0.000429068
64,3883.69,0.93324,1.30943,1.2537,0.77749,0.75197,0.89962,0.53576,1.41852,2.19646,1.9845,0.000418069,0.000418069,0.000418069
65,3928.09,0.8458,1.25528,1.16863,0.77749,0.75197,0.89962,0.53576,1.41852,2.19646,1.9845,0.00040707,0.00040707,0.00040707
66,3972.64,0.9601,1.49604,1.31878,0.86235,0.7797,0.91248,0.56088,1.44558,2.08781,2.03577,0.000396071,0.000396071,0.000396071
67,4019.19,0.81377,1.16025,1.21116,0.86235,0.7797,0.91248,0.56088,1.44558,2.08781,2.03577,0.000385073,0.000385073,0.000385073
68,4065.86,0.89603,1.34098,1.32116,0.87741,0.8134,0.92845,0.56481,1.46009,2.02421,2.04335,0.000374074,0.000374074,0.000374074
69,4111.8,0.80256,1.14354,1.14535,0.87741,0.8134,0.92845,0.56481,1.46009,2.02421,2.04335,0.000363075,0.000363075,0.000363075
70,4156.46,1.04556,1.57112,1.31766,0.8633,0.79825,0.92845,0.56131,1.44547,2.03917,2.02789,0.000352076,0.000352076,0.000352076
71,4201.72,0.82002,1.28651,1.20014,0.8633,0.79825,0.92845,0.56131,1.44547,2.03917,2.02789,0.000341077,0.000341077,0.000341077
72,4246.23,0.78785,1.28196,1.2155,0.82755,0.82052,0.92963,0.56371,1.46068,1.98637,2.08295,0.000330078,0.000330078,0.000330078
73,4290.11,0.83975,1.3761,1.25829,0.82755,0.82052,0.92963,0.56371,1.46068,1.98637,2.08295,0.000319079,0.000319079,0.000319079
74,4334.68,0.79925,1.16795,1.22358,0.9307,0.76787,0.94633,0.55448,1.49399,1.9225,2.13047,0.00030808,0.00030808,0.00030808
75,4379.18,0.86683,1.29149,1.20135,0.9307,0.76787,0.94633,0.55448,1.49399,1.9225,2.13047,0.000297081,0.000297081,0.000297081
76,4424.03,0.8854,1.22944,1.18247,0.82683,0.84774,0.9514,0.56444,1.49099,1.81469,2.13298,0.000286083,0.000286083,0.000286083
77,4468.16,0.81162,1.21958,1.14451,0.82683,0.84774,0.9514,0.56444,1.49099,1.81469,2.13298,0.000275084,0.000275084,0.000275084
78,4512.78,0.88523,1.23551,1.28902,0.86191,0.86054,0.95964,0.57598,1.49887,1.72808,2.14408,0.000264085,0.000264085,0.000264085
79,4558.29,0.73779,1.08732,1.11269,0.86191,0.86054,0.95964,0.57598,1.49887,1.72808,2.14408,0.000253086,0.000253086,0.000253086
80,4603.5,0.70696,1.17128,1.07544,0.88351,0.89535,0.96603,0.57267,1.47152,1.66205,2.1246,0.000242087,0.000242087,0.000242087
81,4647.71,0.8191,1.15138,1.2002,0.88351,0.89535,0.96603,0.57267,1.47152,1.66205,2.1246,0.000231088,0.000231088,0.000231088
82,4692.85,0.89444,1.10459,1.13391,0.88691,0.90112,0.95587,0.58932,1.45377,1.60907,2.11561,0.000220089,0.000220089,0.000220089
83,4737.14,0.77956,1.09144,1.16458,0.88691,0.90112,0.95587,0.58932,1.45377,1.60907,2.11561,0.00020909,0.00020909,0.00020909
84,4781.94,0.76569,1.10788,1.11843,0.89559,0.91302,0.96395,0.60344,1.44755,1.56605,2.08665,0.000198091,0.000198091,0.000198091
85,4827.21,0.75825,1.10281,1.16506,0.89559,0.91302,0.96395,0.60344,1.44755,1.56605,2.08665,0.000187092,0.000187092,0.000187092
86,4871.82,0.81692,1.20758,1.19215,0.88976,0.91495,0.97003,0.60601,1.42364,1.51028,2.03961,0.000176094,0.000176094,0.000176094
87,4916.13,0.93826,1.34456,1.22807,0.88976,0.91495,0.97003,0.60601,1.42364,1.51028,2.03961,0.000165095,0.000165095,0.000165095
88,4961.13,0.68495,0.88539,1.06856,0.8996,0.9201,0.97714,0.60831,1.4,1.46605,2.01251,0.000154096,0.000154096,0.000154096
89,5005.86,0.72626,1.18782,1.1468,0.8996,0.9201,0.97714,0.60831,1.4,1.46605,2.01251,0.000143097,0.000143097,0.000143097
90,5050.49,0.716,1.05298,1.10085,0.91177,0.91762,0.95796,0.60721,1.42027,1.42931,2.0332,0.000132098,0.000132098,0.000132098
91,5096.09,0.61466,1.24566,1.05412,0.91177,0.91762,0.95796,0.60721,1.42027,1.42931,2.0332,0.000121099,0.000121099,0.000121099
92,5141.09,0.64224,1.24727,1.04929,0.91204,0.91829,0.95626,0.59984,1.44291,1.43423,2.04882,0.0001101,0.0001101,0.0001101
93,5185.18,0.60482,1.1827,1.04873,0.91204,0.91829,0.95626,0.59984,1.44291,1.43423,2.04882,9.91012e-05,9.91012e-05,9.91012e-05
94,5229.36,0.60915,1.24948,1.10543,0.89302,0.91675,0.96752,0.58676,1.46285,1.47973,2.0651,8.81023e-05,8.81023e-05,8.81023e-05
95,5273.94,0.60584,1.208,1.05636,0.89302,0.91675,0.96752,0.58676,1.46285,1.47973,2.0651,7.71034e-05,7.71034e-05,7.71034e-05
96,5319.07,0.62268,1.19083,1.06636,0.88789,0.91666,0.96875,0.58778,1.46126,1.51223,2.06045,6.61045e-05,6.61045e-05,6.61045e-05
97,5364.08,0.56621,1.1915,1.04305,0.88789,0.91666,0.96875,0.58778,1.46126,1.51223,2.06045,5.51056e-05,5.51056e-05,5.51056e-05
98,5409.3,0.60279,1.26306,1.11202,0.88221,0.91735,0.9702,0.58255,1.45955,1.53341,2.05121,4.41067e-05,4.41067e-05,4.41067e-05
99,5453.54,0.63654,1.19501,1.12638,0.88221,0.91735,0.9702,0.58255,1.45955,1.53341,2.05121,3.31078e-05,3.31078e-05,3.31078e-05
100,5498.45,0.72973,1.36542,1.14315,0.9154,0.89237,0.9702,0.58439,1.45144,1.54156,2.03609,2.21089e-05,2.21089e-05,2.21089e-05
